"Questions","Who ","How ","In which ","What ","When ","Where ","Which "
"Give me all cosmonauts. ?","0","0","0","0","0","0","0"
"In which country does the Ganges start ?","0","0","1","0","0","0","0"
"Which German cities have more than 250000 inhabitants ?","0","0","0","0","0","0","1"
"Who was John F. Kennedy's vice president ?","1","0","0","0","0","0","0"
"Who is the mayor of Berlin ?","1","0","0","0","0","0","0"
"How many students does the Free University in Amsterdam have ?","0","1","0","0","0","0","0"
"What is the second highest mountain on Earth ?","0","0","0","1","0","0","0"
"Give me all professional skateboarders from Sweden. ?","0","0","0","0","0","0","0"
"Give me a list of all bandleaders that play trumpet. ?","0","0","0","0","0","0","0"
"Which countries have more than ten caves ?","0","0","0","0","0","0","1"
"Who produces Orangina ?","1","0","0","0","0","0","0"
"Who is the Formula 1 race driver with the most races ?","1","0","0","0","0","0","0"
"Who is the youngest player in the Premier League ?","1","0","0","0","0","0","0"
"Give me all members of Prodigy. ?","0","0","0","0","0","0","0"
"Does Breaking Bad have more episodes than Game of Thrones ?","0","0","0","0","0","0","0"
"What were the main discoveries of the Mars rover Curiosity ?","0","0","0","1","0","0","0"
"Give me all people that were born in Vienna and died in Berlin. ?","0","0","0","0","0","0","0"
"Is proinsulin a protein ?","0","0","0","0","0","0","0"
"How tall is Michael Jordan ?","0","1","0","0","0","0","0"
"What is the capital of Canada ?","0","0","0","1","0","0","0"
"How many languages are spoken in Turkmenistan ?","0","1","0","0","0","0","0"
"Give me all movies directed by Francis Ford Coppola. ?","0","0","0","0","0","0","0"
"Give me all actors starring in movies directed by William Shatner. ?","0","0","0","0","0","0","0"
"Are tree frogs a type of amphibian ?","0","0","0","0","0","0","0"
"How often did Jane Fonda marry ?","0","1","0","0","0","0","0"
"Give me all Australian nonprofit organizations. ?","0","0","0","0","0","0","0"
"In which military conflicts did Lawrence of Arabia participate ?","0","0","1","0","0","0","0"
"Who developed Minecraft ?","1","0","0","0","0","0","0"
"How many inhabitants does Maribor have ?","0","1","0","0","0","0","0"
"Give me all companies in Munich. ?","0","0","0","0","0","0","0"
"How tall is Claudia Schiffer ?","0","1","0","0","0","0","0"
"List all games by GMT. ?","0","0","0","0","0","0","0"
"Who founded Intel ?","1","0","0","0","0","0","0"
"Which cities does the Weser flow through ?","0","0","0","0","0","0","1"
"Which countries are connected by the Rhine ?","0","0","0","0","0","0","1"
"Which professional surfers were born in Australia ?","0","0","0","0","0","0","1"
"In which UK city are the headquarters of the MI6 ?","0","0","1","0","0","0","0"
"Who created Goofy ?","1","0","0","0","0","0","0"
"Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion ?","0","0","0","0","0","0","0"
"Give me all islands that belong to Japan. ?","0","0","0","0","0","0","0"
"Give me all Apollo 14 astronauts. ?","0","0","0","0","0","0","0"
"How many missions does the Soyuz programme have ?","0","1","0","0","0","0","0"
"Did Socrates influence Aristotle ?","0","0","0","0","0","0","0"
"Give me all Danish movies. ?","0","0","0","0","0","0","0"
"Give me all launch pads operated by NASA. ?","0","0","0","0","0","0","0"
"Which instruments does Cat Stevens play ?","0","0","0","0","0","0","1"
"Who are the parents of the wife of Juan Carlos I ?","1","0","0","0","0","0","0"
"How many employees does Google have ?","0","1","0","0","0","0","0"
"Did Tesla win a nobel prize in physics ?","0","0","0","0","0","0","0"
"Give me all cities in New Jersey with more than 100000 inhabitants. ?","0","0","0","0","0","0","0"
"Is Rita Wilson the wife of Tom Hanks ?","0","0","0","0","0","0","0"
"How many children did Benjamin Franklin have ?","0","1","0","0","0","0","0"
"When did Michael Jackson die ?","0","0","0","0","1","0","0"
"Which Chess players died in the same place they were born in ?","0","0","0","0","0","0","1"
"List the children of Margaret Thatcher. ?","0","0","0","0","0","0","0"
"Was Margaret Thatcher a chemist ?","0","0","0","0","0","0","0"
"Which museum exhibits The Scream by Munch ?","0","0","0","0","0","0","1"
"Give me all books by William Goldman with more than 300 pages. ?","0","0","0","0","0","0","0"
"Which books by Kerouac were published by Viking Press ?","0","0","0","0","0","0","1"
"How high is the Mount Everest ?","0","1","0","0","0","0","0"
"How many people live in the capital of Australia ?","0","1","0","0","0","0","0"
"What is the largest city in Australia ?","0","0","0","1","0","0","0"
"Who composed the music for Harold and Maude ?","1","0","0","0","0","0","0"
"Which films starring Clint Eastwood did he direct himself ?","0","0","0","0","0","0","1"
"In which city was the former Dutch queen Juliana buried ?","0","0","1","0","0","0","0"
"Is Egypts largest city also its capital ?","0","0","0","0","0","0","0"
"Show me all songs from Bruce Springsteen released between 1980 and 1990. ?","0","0","0","0","0","0","0"
"Give me all B-sides of the Ramones. ?","0","0","0","0","0","0","0"
"Which country does the creator of Miffy come from ?","0","0","0","0","0","0","1"
"For which label did Elvis record his first album ?","0","0","0","0","0","0","0"
"Give me the birthdays of all actors of the television show Charmed. ?","0","0","0","0","0","0","0"
"How many employees does IBM have ?","0","1","0","0","0","0","0"
"In which country is the Limerick Lake ?","0","0","1","0","0","0","0"
"Which television shows were created by John Cleese ?","0","0","0","0","0","0","1"
"Which mountain is the highest after the Annapurna ?","0","0","0","0","0","0","1"
"In which films directed by Garry Marshall was Julia Roberts starring ?","0","0","1","0","0","0","0"
"Was U.S. president Jackson involved in a war ?","0","0","0","0","0","0","0"
"Which awards did Douglas Hofstadter win ?","0","0","0","0","0","0","1"
"Who is the daughter of Robert Kennedy married to ?","1","0","0","0","0","0","0"
"What is the currency of the Czech Republic ?","0","0","0","1","0","0","0"
"What is the area code of Berlin ?","0","0","0","1","0","0","0"
"Which countries have more than two official languages ?","0","0","0","0","0","0","1"
"Who is the owner of Rolls-Royce ?","1","0","0","0","0","0","0"
"Through which countries does the Yenisei river flow ?","0","0","0","0","0","0","0"
"Which monarchs were married to a German ?","0","0","0","0","0","0","1"
"When was the Battle of Gettysburg ?","0","0","0","0","1","0","0"
"Which river does the Brooklyn Bridge cross ?","0","0","0","0","0","0","1"
"What is the highest mountain in Australia ?","0","0","0","1","0","0","0"
"What is the official language of Suriname ?","0","0","0","1","0","0","0"
"Who is the mayor of Tel Aviv ?","1","0","0","0","0","0","0"
"Who designed the Brooklyn Bridge ?","1","0","0","0","0","0","0"
"Is Frank Herbert still alive ?","0","0","0","0","0","0","0"
"Who is the editor of Forbes ?","1","0","0","0","0","0","0"
"What did Bruce Carver die from ?","0","0","0","1","0","0","0"
"Which presidents were born in 1945 ?","0","0","0","0","0","0","1"
"Give me all federal chancellors of Germany. ?","0","0","0","0","0","0","0"
"Who was the wife of U.S. president Lincoln ?","1","0","0","0","0","0","0"
"Who developed the video game World of Warcraft ?","1","0","0","0","0","0","0"
"List all episodes of the first season of the HBO television series The Sopranos. ?","0","0","0","0","0","0","0"
"Who produced the most films ?","1","0","0","0","0","0","0"
"In which city did John F. Kennedy die ?","0","0","1","0","0","0","0"
"Is there a video game called Battle Chess ?","0","0","0","0","0","0","0"
"Who created Wikipedia ?","1","0","0","0","0","0","0"
"Give me all actors starring in Last Action Hero. ?","0","0","0","0","0","0","0"
"Which software has been developed by organizations founded in California ?","0","0","0","0","0","0","1"
"Is Christian Bale starring in Velvet Goldmine ?","0","0","0","0","0","0","0"
"Which actors were born in Germany ?","0","0","0","0","0","0","1"
"Was the wife of president Lincoln called Mary ?","0","0","0","0","0","0","0"
"Give me all films produced by Hal Roach. ?","0","0","0","0","0","0","0"
"Which languages are spoken in Estonia ?","0","0","0","0","0","0","1"
"How many Aldi stores are there ?","0","1","0","0","0","0","0"
"Who was the 16th president of the United States ?","1","0","0","0","0","0","0"
"How many films did Hal Roach produce ?","0","1","0","0","0","0","0"
"Give me all books written by Danielle Steel. ?","0","0","0","0","0","0","0"
"Which airports are located in California, USA ?","0","0","0","0","0","0","1"
"Give me all Canadian Grunge record labels. ?","0","0","0","0","0","0","0"
"In which programming language is GIMP written ?","0","0","1","0","0","0","0"
"Who produced films starring Natalie Portman ?","1","0","0","0","0","0","0"
"Give me all movies with Tom Cruise. ?","0","0","0","0","0","0","0"
"In which films did Julia Roberts as well as Richard Gere play ?","0","0","1","0","0","0","0"
"Who wrote the book The Pillars of the Earth ?","1","0","0","0","0","0","0"
"How many films did Leonardo DiCaprio star in ?","0","1","0","0","0","0","0"
"Give me all soccer clubs in the Premier League. ?","0","0","0","0","0","0","0"
"When was Capcom founded ?","0","0","0","0","1","0","0"
"Which organizations were founded in 1930 ?","0","0","0","0","0","0","1"
"What is the highest mountain ?","0","0","0","1","0","0","0"
"Was Natalie Portman born in the United States ?","0","0","0","0","0","0","0"
"How many inhabitants does the largest city in Canada have ?","0","1","0","0","0","0","0"
"In which studio did the Beatles record their first album ?","0","0","1","0","0","0","0"
"Who was the first to climb Mount Everest ?","1","0","0","0","0","0","0"
"How many programming languages are there ?","0","1","0","0","0","0","0"
"What is the official color of the University of Oxford ?","0","0","0","1","0","0","0"
"How many gold medals did Michael Phelps win at the 2008 Olympics ?","0","1","0","0","0","0","0"
"To which artistic movement did the painter of The Three Dancers belong ?","0","0","0","0","0","0","0"
"Give me all animals that are extinct. ?","0","0","0","0","0","0","0"
"Does Abraham Lincoln's death place have a website ?","0","0","0","0","0","0","0"
"How deep is Lake Placid ?","0","1","0","0","0","0","0"
"Give me the grandchildren of Bruce Lee. ?","0","0","0","0","0","0","0"
"Who is the youngest Darts player ?","1","0","0","0","0","0","0"
"Where was Bach born ?","0","0","0","0","0","1","0"
"In which countries can you pay using the West African CFA franc ?","0","0","1","0","0","0","0"
"What is the most frequent cause of death ?","0","0","0","1","0","0","0"
"Does the Isar flow into a lake ?","0","0","0","0","0","0","0"
"Give me all films produced by Steven Spielberg with a budget of at least $80 million. ?","0","0","0","0","0","0","0"
"Give me all writers that won the Nobel Prize in literature. ?","0","0","0","0","0","0","0"
"Give me all taikonauts. ?","0","0","0","0","0","0","0"
"How many pages does War and Peace have ?","0","1","0","0","0","0","0"
"What is the bridge with the longest span ?","0","0","0","1","0","0","0"
"Who is the tallest player of the Atlanta Falcons ?","1","0","0","0","0","0","0"
"Which rivers flow into a German lake ?","0","0","0","0","0","0","1"
"Which rockets were launched from Baikonur ?","0","0","0","0","0","0","1"
"Which pope succeeded John Paul II ?","0","0","0","0","0","0","1"
"Give me all Dutch parties. ?","0","0","0","0","0","0","0"
"Give me all Swedish oceanographers. ?","0","0","0","0","0","0","0"
"Give me all actors who were born in Berlin. ?","0","0","0","0","0","0","0"
"What was the last movie with Alec Guinness ?","0","0","0","1","0","0","0"
"Which poet wrote the most books ?","0","0","0","0","0","0","1"
"How many languages are spoken in Colombia ?","0","1","0","0","0","0","0"
"What does IYCM stand for ?","0","0","0","1","0","0","0"
"Which ingredients do I need for carrot cake ?","0","0","0","0","0","0","1"
"Is Cola a beverage ?","0","0","0","0","0","0","0"
"Who has Tom Cruise been married to ?","1","0","0","0","0","0","0"
"Which of Tim Burton's films had the highest budget ?","0","0","0","0","0","0","1"
"Which actor was casted in the most movies ?","0","0","0","0","0","0","1"
"Is James Bond married ?","0","0","0","0","0","0","0"
"Give me all Australian metalcore bands. ?","0","0","0","0","0","0","0"
"Give me all actors who were born in Paris after 1950. ?","0","0","0","0","0","0","0"
"Give all swimmers that were born in Moscow. ?","0","0","0","0","0","0","0"
"Show me the book that Muhammad Ali wrote. ?","0","0","0","0","0","0","0"
"How many museums does Paris have ?","0","1","0","0","0","0","0"
"Which city has the most inhabitants ?","0","0","0","0","0","0","1"
"Which city has the least inhabitants ?","0","0","0","0","0","0","1"
"Give me all the TV shows with Neil Patrick Harris. ?","0","0","0","0","0","0","0"
"Who wrote The Hunger Games ?","1","0","0","0","0","0","0"
"Show a list of soccer clubs that play in the Bundesliga. ?","0","0","0","0","0","0","0"
"Who is the founder of Penguin Books ?","1","0","0","0","0","0","0"
"Which programming languages influenced Javascript ?","0","0","0","0","0","0","1"
"Did Che Guevara have children ?","0","0","0","0","0","0","0"
"List all the musicals with music by Elton John. ?","0","0","0","0","0","0","0"
"Show me all the breweries in Australia. ?","0","0","0","0","0","0","0"
"When was the Titanic completed ?","0","0","0","0","1","0","0"
"How much did Pulp Fiction cost ?","0","1","0","0","0","0","0"
"How many airlines are there ?","0","1","0","0","0","0","0"
"Which book has the most pages ?","0","0","0","0","0","0","1"
"Which bridges cross the Seine ?","0","0","0","0","0","0","1"
"Who is the mayor of the capital of French Polynesia ?","1","0","0","0","0","0","0"
"When did Dracula's creator die ?","0","0","0","0","1","0","0"
"What is the location of the Houses of Parliament ?","0","0","0","1","0","0","0"
"Show me all English Gothic buildings in Kent. ?","0","0","0","0","0","0","0"
"Who was the pope that founded the Vatican Television ?","1","0","0","0","0","0","0"
"What is the total population of Melbourne, Florida ?","0","0","0","1","0","0","0"
"Which airports does Air China serve ?","0","0","0","0","0","0","1"
"In which year was Rachel Stevens born ?","0","0","1","0","0","0","0"
"Where was JFK assassinated ?","0","0","0","0","0","1","0"
"How many politicians graduated from Columbia University ?","0","1","0","0","0","0","0"
"Which scientist is known for the Manhattan Project and the Nobel Peace Prize ?","0","0","0","0","0","0","1"
"Who is the owner of Facebook ?","1","0","0","0","0","0","0"
"From which region is the Melon de Bourgogne ?","0","0","0","0","0","0","0"
"Who was influenced by Socrates ?","1","0","0","0","0","0","0"
"Who was married to president Chirac ?","1","0","0","0","0","0","0"
"Where in France is sparkling wine produced ?","0","0","0","0","0","1","0"
"Where did Hillel Slovak die ?","0","0","0","0","0","1","0"
"What is the timezone in San Pedro de Atacama ?","0","0","0","1","0","0","0"
"In which city does the Chile Route 68 end ?","0","0","1","0","0","0","0"
"Who was vice president under the president who authorized atomic weapons against Japan during World War II ?","1","0","0","0","0","0","0"
"Which anti-apartheid activist was born in Mvezo ?","0","0","0","0","0","0","1"
"How many Golden Globe awards did the daughter of Henry Fonda win ?","0","1","0","0","0","0","0"
"Which recipients of the Victoria Cross died in the Battle of Arnhem ?","0","0","0","0","0","0","1"
"Where did the first man in space die ?","0","0","0","0","0","1","0"
"How old was Steve Jobs' sister when she first met him ?","0","1","0","0","0","0","0"
"Which members of the Wu-Tang Clan took their stage name from a movie ?","0","0","0","0","0","0","1"
"Which writers had influenced the philosopher that refused a Nobel Prize ?","0","0","0","0","0","0","1"
"Who composed the music for the film that depicts the early life of Jane Austin ?","1","0","0","0","0","0","0"
"Which horses did The Long Fellow ride ?","0","0","0","0","0","0","1"
"Of the people that died of radiation in Los Alamos, whose death was an accident ?","0","0","0","0","0","0","0"
"Which building owned by the Bank of America was featured in the TV series MegaStructures ?","0","0","0","0","0","0","1"
"Which buildings in art deco style did Shreve, Lamb and Harmon design ?","0","0","0","0","0","0","1"
"Which birds are protected under the National Parks and Wildlife Act ?","0","0","0","0","0","0","1"
"Which country did the first known photographer of snowflakes come from ?","0","0","0","0","0","0","1"
"List all the battles commanded by the lover of Cleopatra. ?","0","0","0","0","0","0","0"
"Are the Rosetta Stone and the Gayer-Andersen cat exhibited in the same museum ?","0","0","0","0","0","0","0"
"Which actress starring in the TV series Friends owns the production company Coquette Productions ?","0","0","0","0","0","0","1"
"Gaborone is the capital of which country member of the African Union ?","0","0","0","0","0","0","0"
"When was the composer of the opera Madame Butterfly born ?","0","0","0","0","1","0","0"
"For which movie did the daughter of Francis Ford Coppola receive an Oscar ?","0","0","0","0","0","0","0"
"Which city does the first person to climb all 14 eight-thousanders come from ?","0","0","0","0","0","0","1"
"At which college did the only American actor that received the C��sar Award study ?","0","0","0","0","0","0","0"
"Did Napoleon's first wife die in France ?","0","0","0","0","0","0","0"
"How old is James Bond in the latest Bond book by William Boyd ?","0","1","0","0","0","0","0"
"What is the native city of Hollywood's highest-paid actress ?","0","0","0","1","0","0","0"
"In which city does the former main presenter of the Xpos�� girls live ?","0","0","1","0","0","0","0"
"Who plays Phileas Fogg in the adaptation of Around the World in 80 Days directed by Buzz Kulik ?","1","0","0","0","0","0","0"
"Who is the front man of the band that wrote Coffee & TV ?","1","0","0","0","0","0","0"
"Which Chinese-speaking country is a former Portguese colony ?","0","0","0","0","0","0","1"
"What is the largest city in the county in which Faulkner spent most of his life ?","0","0","0","1","0","0","0"
"In which year did the Hungarian-American actor called ""The King of Horror"" make his first film ?","0","0","1","0","0","0","0"
"Under which pseudonym did Charles Dickens publish some of his books ?","0","0","0","0","0","0","0"
"A landmark of which city is the home of the Mona Lisa ?","0","0","0","0","0","0","0"
